text,label
Your account has been suspended. Click here to verify.,1
Win a free iPhone now! Limited offer.,1
Meeting scheduled for tomorrow at 10am.,0
Update your password immediately to avoid lockout.,1
Here is the project report you requested.,0
Confirm your bank details to avoid suspension.,1
Lunch at 1pm?,0
You have won a lottery. Claim now!,1
Hello, how are you today?,0
Let’s meet for lunch tomorrow.,0
You are so stupid and useless.,1
Please send the report by evening.,0
I hate everyone in this office.,1
Thank you for your help.,0
You should quit your job.,1
The weather is nice today.,0
I will destroy your career.,1
Let’s work on this project together.,0
You are the worst person I’ve ever met.,1
Can you share the meeting notes?,0
Nobody likes you.,1
Great job on the presentation!,0
You are completely worthless.,1
I appreciate your effort.,0
You are a total failure.,1
Let’s schedule a call.,0
Everyone would be better off without you.,1
Please review this document.,0
You make everything worse.,1
Happy birthday! Have a great day.,0
You’re so annoying.,1
Let me know if you need help.,0
I can’t stand working with you.,1
Good morning!,0
You ruin everything.,1
Thanks for the update.,0
You’re a complete idiot.,1
Looking forward to the event.,0
You should just disappear.,1
That was a very helpful explanation.,0
You’re the worst teammate.,1
Please confirm your attendance.,0
Nobody wants you here.,1
Let’s celebrate the success.,0
You are so incompetent.,1
I enjoyed our conversation.,0
You’re completely useless.,1
Have a safe trip.,0
You always mess things up.,1
Thanks for your support.,0
You don’t deserve this job.,1
Let’s grab coffee sometime.,0
You are a terrible person.,1
Please take care.,0
Everyone hates you.,1
Nice to meet you.,0
You are the biggest problem here.,1
Hope you have a great weekend.,0
You’re nothing but trouble.,1
See you at the meeting.,0
You are absolutely pathetic.,1
Let’s finish this task today.,0
No one respects you.,1
I’m glad we worked together.,0
You are so annoying to deal with.,1
Please send the files.,0
You are a disaster.,1
Great teamwork everyone.,0
You always ruin the plan.,1
Let’s start the session.,0
You are completely useless at this.,1
Thanks for the quick reply.,0
You never do anything right.,1
Let’s discuss the details.,0
You are a joke.,1
Good luck with your exam.,0
You are so dumb.,1
Have a great evening.,0
You are an embarrassment.,1
Please join the call.,0
You’re hopeless.,1
Nice work on the task.,0
You are the worst employee.,1
Take care and stay safe.,0
You are unbearable.,1
Looking forward to your reply.,0
You are such a failure.,1
Let’s complete the report.,0
You are useless to this team.,1
Good job on the update.,0
You’re a burden to everyone.,1
Please check the email.,0
You are totally incompetent.,1
Welcome to the team.,0
You make everything worse.,1
Hope your day is going well.,0
You’re a terrible colleague.,1
Let’s plan the next steps.,0
You are so irritating.,1
Thanks for the feedback.,0
You are a problem for everyone.,1
Have a productive day.,0
You are worthless.,1
Let’s keep in touch.,0
You are the worst.,1
Good to see you again.,0
You are a complete failure.,1
